,0
0,"Jsem muž, je mi 28 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Nymburk a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1,"Jsem muž, je mi 27 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
2,"Jsem žena, je mi 33 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Královéhradeckém kraji, v okresu Jičín a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
3,"Jsem žena, je mi 27 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Plzeňském kraji, v okresu Rokycany a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
4,"Jsem muž, je mi 21 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Ústeckém kraji, v okresu Chomutov a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
5,"Jsem muž, je mi 44 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
6,"Jsem muž, je mi 58 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Královéhradeckém kraji, v okresu Hradec Králové a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
7,"Jsem žena, je mi 57 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Klatovy a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
8,"Jsem muž, je mi 29 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
9,"Jsem žena, je mi 22 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihomoravském kraji, v okresu Břeclav a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
